timestamp,classifier,accuracy,n_mfcc,hop_length,n_fft,test_size
2024-11-30 16:48:46,Custom Naive Bayes,37.85%,28,512,1024,0.2
2024-11-30 16:48:46,Custom Naive Bayes,35.42%,28,512,1024,0.3
2024-11-30 16:48:46,Custom Naive Bayes,34.03%,28,512,1024,0.4
2024-11-30 16:48:46,Custom Naive Bayes,30.97%,28,512,1024,0.5
2024-11-30 16:49:00,Custom Naive Bayes,32.64%,28,512,2048,0.1
2024-11-30 16:49:00,Custom Naive Bayes,35.07%,28,512,2048,0.2
2024-11-30 16:49:00,Custom Naive Bayes,33.56%,28,512,2048,0.3
2024-11-30 16:49:00,Custom Naive Bayes,33.51%,28,512,2048,0.4
2024-11-30 16:49:00,Custom Naive Bayes,32.50%,28,512,2048,0.5
2024-11-30 16:49:05,Custom Naive Bayes,36.11%,28,1024,512,0.1
2024-11-30 16:49:05,Custom Naive Bayes,30.90%,28,1024,512,0.2
2024-11-30 16:49:05,Custom Naive Bayes,28.01%,28,1024,512,0.3
2024-11-30 16:49:05,Custom Naive Bayes,29.51%,28,1024,512,0.4
2024-11-30 16:49:05,Custom Naive Bayes,27.92%,28,1024,512,0.5
2024-11-30 16:49:11,Custom Naive Bayes,34.03%,28,1024,1024,0.1
2024-11-30 16:49:11,Custom Naive Bayes,34.03%,28,1024,1024,0.2
2024-11-30 16:49:11,Custom Naive Bayes,32.87%,28,1024,1024,0.3
2024-11-30 16:49:11,Custom Naive Bayes,31.08%,28,1024,1024,0.4
2024-11-30 16:49:11,Custom Naive Bayes,30.83%,28,1024,1024,0.5
2024-11-30 16:49:20,Custom Naive Bayes,34.03%,28,1024,2048,0.1
2024-11-30 16:49:20,Custom Naive Bayes,34.38%,28,1024,2048,0.2
2024-11-30 16:49:20,Custom Naive Bayes,31.94%,28,1024,2048,0.3
2024-11-30 16:49:20,Custom Naive Bayes,31.25%,28,1024,2048,0.4
2024-11-30 16:49:20,Custom Naive Bayes,31.81%,28,1024,2048,0.5
2024-11-30 16:49:35,Custom Naive Bayes,30.56%,30,128,512,0.1
2024-11-30 16:49:35,Custom Naive Bayes,28.82%,30,128,512,0.2
2024-11-30 16:49:35,Custom Naive Bayes,29.86%,30,128,512,0.3
2024-11-30 16:49:35,Custom Naive Bayes,28.65%,30,128,512,0.4
2024-11-30 16:49:35,Custom Naive Bayes,28.75%,30,128,512,0.5
2024-11-30 16:49:58,Custom Naive Bayes,32.64%,30,128,1024,0.1
2024-11-30 16:49:58,Custom Naive Bayes,31.94%,30,128,1024,0.2
2024-11-30 16:49:58,Custom Naive Bayes,30.09%,30,128,1024,0.3
2024-11-30 16:49:58,Custom Naive Bayes,30.21%,30,128,1024,0.4
2024-11-30 16:49:58,Custom Naive Bayes,27.92%,30,128,1024,0.5
2024-11-30 16:50:42,Custom Naive Bayes,33.33%,30,128,2048,0.1
2024-11-30 16:50:42,Custom Naive Bayes,33.33%,30,128,2048,0.2
2024-11-30 16:50:42,Custom Naive Bayes,30.32%,30,128,2048,0.3
2024-11-30 16:50:42,Custom Naive Bayes,29.69%,30,128,2048,0.4
2024-11-30 16:50:42,Custom Naive Bayes,29.17%,30,128,2048,0.5
2024-11-30 16:50:51,Custom Naive Bayes,35.42%,30,256,512,0.1
2024-11-30 16:50:51,Custom Naive Bayes,29.17%,30,256,512,0.2
2024-11-30 16:50:51,Custom Naive Bayes,29.63%,30,256,512,0.3
2024-11-30 16:50:51,Custom Naive Bayes,28.65%,30,256,512,0.4
2024-11-30 16:50:51,Custom Naive Bayes,30.14%,30,256,512,0.5
2024-11-30 16:51:05,Custom Naive Bayes,34.72%,30,256,1024,0.1
2024-11-30 16:51:05,Custom Naive Bayes,34.72%,30,256,1024,0.2
2024-11-30 16:51:05,Custom Naive Bayes,31.71%,30,256,1024,0.3
2024-11-30 16:51:05,Custom Naive Bayes,30.03%,30,256,1024,0.4
2024-11-30 16:51:05,Custom Naive Bayes,29.44%,30,256,1024,0.5
2024-11-30 16:51:28,Custom Naive Bayes,32.64%,30,256,2048,0.1
2024-11-30 16:51:28,Custom Naive Bayes,32.64%,30,256,2048,0.2
2024-11-30 16:51:28,Custom Naive Bayes,30.32%,30,256,2048,0.3
2024-11-30 16:51:28,Custom Naive Bayes,31.08%,30,256,2048,0.4
2024-11-30 16:51:29,Custom Naive Bayes,30.00%,30,256,2048,0.5
2024-11-30 16:51:35,Custom Naive Bayes,32.64%,30,512,512,0.1
2024-11-30 16:51:35,Custom Naive Bayes,29.86%,30,512,512,0.2
2024-11-30 16:51:35,Custom Naive Bayes,28.94%,30,512,512,0.3
2024-11-30 16:51:35,Custom Naive Bayes,28.12%,30,512,512,0.4
2024-11-30 16:51:35,Custom Naive Bayes,28.61%,30,512,512,0.5
2024-11-30 16:51:43,Custom Naive Bayes,36.11%,30,512,1024,0.1
2024-11-30 16:51:43,Custom Naive Bayes,36.46%,30,512,1024,0.2
2024-11-30 16:51:43,Custom Naive Bayes,34.72%,30,512,1024,0.3
2024-11-30 16:51:43,Custom Naive Bayes,32.29%,30,512,1024,0.4
2024-11-30 16:51:43,Custom Naive Bayes,30.42%,30,512,1024,0.5
2024-11-30 16:51:57,Custom Naive Bayes,32.64%,30,512,2048,0.1
2024-11-30 16:51:57,Custom Naive Bayes,34.72%,30,512,2048,0.2
2024-11-30 16:51:58,Custom Naive Bayes,32.41%,30,512,2048,0.3
2024-11-30 16:51:58,Custom Naive Bayes,31.94%,30,512,2048,0.4
2024-11-30 16:51:58,Custom Naive Bayes,30.83%,30,512,2048,0.5
2024-11-30 16:52:02,Custom Naive Bayes,33.33%,30,1024,512,0.1
2024-11-30 16:52:02,Custom Naive Bayes,30.21%,30,1024,512,0.2
